GF DoITT Submitted to CB (A),Site ID,Latitude,Longitude,Borough,Zoning,Council District,Community Board,Street Address,Cross_Street 1,Cross_Street 2,Corner_location,Postcode,BID,Site in Business Improvement District (BID)?,Link In Historic District,NTA,GF Permit_Appl_Id,DoITT: DoITT NTP Issued (A),GF CB Comment Period Ends (A),DoITT: GF DoITT Submitted to CB (A),BIN,BBL,Census Tract,Location 1,Legacy ID,Site Type,Initial Submission (A),Final Submission (A)
08/31/2017,BX-01-GF22070,40.80515,-73.91372,Bronx,C1-4,8,201,690 EAST 138 STREET,JACKSON AVENUE,CYPRESS AVENUE,MIDBLOCK,10454,,No,0,Mott Haven-Port Morris,82073,,10/30/2017,08/22/2017,2091290,2025660010,2002702,"(40.80515192, -73.91371794)",LINK-020499,New Site,07/28/2017,
08/31/2017,BX-01-GF22069,40.80546,-73.91468,Bronx,C1-4,8,201,235 CYPRESS AVENUE,EAST 137 STREET,EAST 138 STREET,SW,10454,,No,0,Mott Haven-Port Morris,82072,,10/30/2017,08/22/2017,2003611,2025500038,2002701,"(40.80546084, -73.91468259)",LINK-020498,New Site,07/28/2017,
08/31/2017,BX-01-GF22118,40.80770,-73.92012,Bronx,C1-4,8,201,490 EAST 138 STREET,EAST 138 STREET,EAST 137 STREET,SE,10454,,No,0,Mott Haven-Port Morris,82100,,10/30/2017,08/22/2017,2097017,2022650001,2002500,"(40.80769621, -73.92011917)",LINK-020547,New Site,07/28/2017,
08/31/2017,BX-01-GF22072,40.80612,-73.91557,Bronx,C1-4,8,201,623 EAST 138 STREET,CYRPRESS AVENUE,ST. ANN'S AVENUE,MIDBLOCK,10454,,No,0,Mott Haven-Port Morris,82074,,10/30/2017,08/22/2017,2003631,2025510058,2002702,"(40.80611602, -73.91557322)",LINK-020501,New Site,07/28/2017,
08/31/2017,BX-01-GF22129,40.81469,-73.91388,Bronx,C1-4,17,201,541 EAST 149 STREET,BROOK AVENUE,ST ANNS AVENUE,MIDBLOCK,10455,,No,0,Melrose South-Mott Haven North,82107,,10/30/2017,08/22/2017,2117109,2022760050,2007100,"(40.81468726, -73.91388351)",LINK-020558,New Site,07/28/2017,
08/31/2017,BX-01-GF22076,40.81406,-73.91204,Bronx,C2-1,17,201,600 ST. ANN'S AVENUE,ST. ANN'S AVENUE,EAGLE AVENUE,NW,10455,,No,0,Melrose South-Mott Haven North,82076,,10/30/2017,08/22/2017,2004314,2026160001,2007300,"(40.81405902, -73.91204432)",LINK-020505,New Site,07/28/2017,
02/16/2018,BX-04-GF22127,40.83346,-73.91408,Bronx,C1-4,16,204,1220 MORRIS AVENUE,EAST 167 STREET,EAST 168 STREET,N,10456,,No,0,East Concourse-Concourse Village,82428,,04/17/2018,02/14/2018,2002624,2024500056,2017901,"(40.83345607, -73.9140803)",LINK-020556,New Site,10/11/2017,
12/15/2017,mn-02-GF0098,40.73014,-74.00467,Manhattan,C2-6,3,102,15 7 AVENUE SOUTH,LEROY STREET,CARMINE STREET,SE,10014,,No,0,West Village,82408,,02/13/2018,12/06/2017,1077935,1005820026,1006700,"(40.73014393, -74.00466812)",LINK-020435,New Site,10/10/2017,
12/15/2017,mn-01-GF0101,40.71910,-74.00718,Manhattan,C6-2A,1,101,137 FRANKLIN STREET,VARICK STREET,HUDSON STREET,,10013,,No,1,SoHo-TriBeCa-Civic Center-Little Italy,82020,,02/13/2018,12/06/2017,1002018,1001790068,1003300,"(40.71909865, -74.00718471)",LINK-020438,New Site,07/05/2017,
12/15/2017,mn-02-GF0100,40.73719,-74.00564,Manhattan,C1-6,3,102,601 HUDSON STREET,8 AVENUE,WEST 12 STREET,MIDBLOCK,10014,,No,1,West Village,82413,,02/13/2018,12/06/2017,1011372,1006240024,1007700,"(40.73719372, -74.00564368)",LINK-020437,New Site,10/11/2017,
