Id,Id2,Geography,total_households,%_household_income_less_10_000,%_household_income_10_000_14_999,%_income_15_000_24_999,%_household_income_25_000_34_999,%_household_income_35_000_49_999,%_household_income_50_000_74_999,%_household_income_75_000_99_999,%_household_income_100_000_149_999,%_household_income_150_000_199_999,%_household_income_200_000_plus,household_income_median,household_income_mean,education_total_population,education_total_pop_high_school,education_total_pop_ged,education_total_pop_associates,education_total_pop_bachelors,education_total_pop_masters,education_total_pop_prof_degree,education_total_pop_doctorate,race_total_population,race_total_black_alone,race_total_black_alone,race_total_am_indian_alaskan_native_alone,race_total_asian_alone,race_total_native_hawaiian_other_pacific_islander_alone,race_total_some_other_race_alone,race_total_two_or_more_races,occupancy_total_population,occupancy_total_owner_occupied,occupancy_total_renter_occupied,insurance_percent,all_below_poverty_level_percent,hisporigin_total,hisporigin_not_hisp_or_latino,hisporigin_hisp_or_latino,median_gross_rent_as_%_of_household_income
1400000US36005012102,36005012102,"Census Tract 121.02, Bronx County, New York",511,21.1,13.3,33.7,11.2,8.4,5.9,2,4.5,0,0,20559,25709,846,165,58,43,84,0,0,0,1561,243,319,0,0,0,911,88,1561,34,1527,13.8,50.6,1561,224,1337,31.8
1400000US36005012300,36005012300,"Census Tract 123, Bronx County, New York",1464,22.8,18.7,10,10.8,14.3,11.2,5.5,2.3,3.4,1,23590,45412,2426,511,160,71,285,27,0,14,3995,350,1436,3,39,0,2015,152,3893,503,3390,7.9,30.7,3995,1312,2683,31.5
1400000US36005012500,36005012500,"Census Tract 125, Bronx County, New York",1402,12,8.4,18.5,16.6,15,11.3,5.8,5.8,2.2,4.4,31336,48407,2774,756,101,181,354,59,0,8,4510,502,1425,56,77,0,2259,191,4502,992,3510,13.3,35.8,4510,1558,2952,48.2
1400000US36005012701,36005012701,"Census Tract 127.01, Bronx County, New York",737,30.3,12.6,15.9,11.3,9.8,9.5,5.6,3.5,0.5,1.1,20859,32072,1319,261,32,148,157,41,0,0,1982,361,528,29,77,0,974,13,1899,385,1514,7.6,43.5,1982,542,1440,33.7
1400000US36005012901,36005012901,"Census Tract 129.01, Bronx County, New York",1445,14.7,18.8,21.3,15.5,11.6,8.4,3.3,3.3,3,0,23255,33465,2579,665,131,247,188,68,0,0,4504,561,1807,0,43,0,2022,71,4276,293,3983,7.9,39.9,4504,1701,2803,42.8
1400000US36005013000,36005013000,"Census Tract 130, Bronx County, New York",496,2.8,3.4,5,5.8,6.5,23,15.3,14.7,21.6,1.8,76771,105829,1065,247,37,61,154,99,13,50,1520,1021,162,0,0,0,240,97,1520,1011,509,3.4,3,1520,694,826,23.5
1400000US36005013100,36005013100,"Census Tract 131, Bronx County, New York",1638,17.8,9.3,12.2,10,8.1,21.7,15.6,4.7,0,0.7,36500,45272,2987,815,65,186,275,115,0,2,5240,550,2110,0,7,0,2498,75,5174,720,4454,8.2,27.5,5240,1722,3518,30.4
1400000US36005013200,36005013200,"Census Tract 132, Bronx County, New York",2474,2.5,0.7,9.2,1.8,6.1,11.3,15.5,26.1,13.7,13.1,106731,121470,5275,1285,128,445,904,722,108,99,7202,4103,1236,0,333,0,1439,91,7194,5173,2021,3.9,4.6,7202,3403,3799,25.5
1400000US36005013300,36005013300,"Census Tract 133, Bronx County, New York",2231,16.6,14.8,21.3,17.5,5.9,11.1,4.9,6.5,0.6,0.8,21923,42235,3498,914,246,179,293,99,0,0,5934,771,2125,229,237,0,2455,117,5934,430,5504,7.6,32.7,5934,2488,3446,32.3
1400000US36005013500,36005013500,"Census Tract 135, Bronx County, New York",1360,27.1,10.3,14.9,6.8,8.8,7.5,15.8,7.1,0.7,1,23689,42720,2296,515,157,134,159,46,39,18,3717,455,1484,11,0,106,1378,283,3717,430,3287,10.5,32.5,3717,1380,2337,31.2
